frame,t,n_obs,n_cands_total,ordering_ms,jcbb_ms
662,499.654000,8,8,4,6
663,499.664000,8,8,10,6
664,499.674000,8,8,6,7
665,499.684000,8,8,4,2
666,499.694000,8,8,3,1
667,499.704000,8,0,3,0
668,499.714000,8,0,8,0
669,499.724000,8,0,8,0
670,499.734000,8,8,4,7
671,499.744000,8,8,5,6
672,499.754000,8,8,4,6
673,499.764000,8,8,4,6
674,499.774000,8,8,5,11
675,499.784000,8,8,4,13
676,499.794000,8,8,4,8
677,499.804000,8,8,3,3
678,499.814000,8,8,7,2
679,499.824000,8,8,5,6
680,499.834000,8,8,5,5
681,499.844000,10,10,5,31
682,499.854000,10,10,7,32
683,499.864000,10,10,5,36
684,499.874000,10,10,5,45
685,499.884000,10,10,5,33
686,499.894000,10,10,5,8
687,499.904000,10,10,6,1
688,499.914000,10,10,5,1
689,499.924000,10,10,6,28
690,499.934000,10,10,7,36
691,499.944000,10,10,7,35
692,499.954000,10,10,6,30
693,499.964000,10,10,7,31
694,499.974000,10,10,5,35
695,499.984000,10,10,5,30
696,499.994000,10,10,6,8
697,500.004000,10,10,6,8
698,500.014000,10,10,6,38
699,500.024000,10,10,5,39
700,500.034000,10,10,6,27
701,500.044000,10,10,4,36
702,500.054000,10,10,5,33
703,500.064000,10,10,4,31
704,500.074000,10,10,6,28
705,500.084000,10,10,6,39
706,500.094000,10,10,8,39
707,500.104000,10,10,6,44
708,500.114000,10,10,5,32
709,500.124000,10,10,10,50
710,500.134000,10,10,5,45
711,500.144000,10,10,6,36
712,500.154000,10,10,4,37
713,500.164000,10,10,6,37
714,500.174000,10,10,5,38
715,500.184000,10,10,9,4
716,500.194000,10,10,11,17
717,500.204000,10,10,4,40
718,500.214000,12,10,7,36
719,500.224000,12,10,4,35
720,500.234000,12,10,7,4
721,500.244000,12,10,6,1
722,500.254000,12,10,5,0
723,500.264000,12,10,4,2
724,500.274000,12,0,6,0
725,500.284000,12,10,4,1
726,500.294000,12,10,5,4
727,500.304000,12,10,6,16
728,500.314000,12,10,7,43
729,500.324000,12,10,6,33
730,500.334000,12,10,9,43
731,500.344000,12,10,5,38
732,500.354000,12,10,6,38
733,500.364000,12,10,5,36
734,500.374000,12,0,7,0
735,500.384000,12,10,5,1
736,500.394000,12,10,4,1
737,500.404000,14,10,8,9
738,500.414000,14,10,6,36
739,500.424000,14,10,9,37
740,500.434000,14,10,7,42
741,500.444000,14,10,7,43
742,500.454000,14,10,6,31
743,500.464000,14,10,7,43
744,500.474000,14,0,9,0
745,500.484000,14,10,5,0
746,500.494000,14,10,7,1
747,500.504000,14,10,5,10
748,500.514000,14,10,6,35
749,500.524000,14,10,5,37
750,500.534000,14,10,6,31
751,500.544000,14,10,6,41
752,500.554000,14,10,5,43
753,500.564000,14,10,8,38
754,500.574000,14,10,8,34
755,500.584000,14,10,10,8
756,500.594000,14,10,10,39
757,500.604000,18,12,8,192
758,500.614000,18,0,6,0
759,500.624000,18,0,5,0
760,500.634000,18,0,7,0
761,500.644000,18,0,9,0
762,500.654000,16,0,9,0
763,500.664000,16,0,6,0
764,500.674000,16,0,6,0
765,500.684000,16,0,5,0
766,500.694000,16,10,5,1
767,500.704000,16,10,6,0
768,500.714000,16,10,4,8
769,500.724000,16,10,7,36
770,500.734000,16,10,5,36
771,500.744000,16,10,6,31
772,500.754000,16,0,6,0
773,500.764000,16,0,7,0
774,500.774000,16,10,5,0
775,500.784000,16,10,7,2
776,500.794000,16,10,6,3
777,500.804000,16,10,6,35
778,500.814000,16,10,4,40
779,500.824000,16,10,5,35
780,500.834000,16,10,6,34
781,500.844000,16,0,6,0
782,500.854000,16,0,5,0
783,500.864000,16,0,9,0
784,500.874000,16,0,5,0
785,500.884000,16,10,5,1
786,500.894000,16,10,4,3
787,500.904000,16,10,8,34
788,500.914000,16,10,4,31
789,500.924000,16,10,7,44
790,500.934000,16,10,6,33
791,500.944000,16,10,5,3
792,500.954000,16,10,6,1
793,500.964000,16,10,8,1
794,500.974000,16,0,6,0
795,500.984000,16,0,5,0
796,500.994000,16,10,10,1
797,501.004000,16,10,7,3
798,501.014000,16,10,7,38
799,501.024000,16,10,7,33
800,501.034000,16,10,5,49
801,501.044000,16,0,5,0
802,501.054000,16,0,9,0
803,501.064000,16,0,5,0
804,501.074000,16,0,8,0
805,501.084000,16,10,4,2
806,501.094000,16,10,6,3
807,501.104000,16,10,9,25
808,501.114000,16,10,8,42
809,501.124000,16,10,5,33
810,501.134000,16,10,8,40
811,501.144000,16,0,5,0
812,501.154000,16,0,6,0
813,501.164000,16,0,4,0
814,501.174000,16,0,6,0
815,501.184000,16,0,5,0
816,501.194000,16,0,6,0
817,501.204000,16,10,7,1
818,501.214000,16,10,6,5
819,501.224000,16,10,5,31
820,501.234000,16,10,6,36
821,501.244000,16,10,6,34
822,501.254000,16,10,7,42
823,501.264000,16,10,6,37
824,501.274000,16,10,7,0
825,501.284000,16,10,9,2
826,501.294000,16,10,7,28
827,501.304000,16,10,6,36
828,501.314000,16,10,4,46
829,501.324000,18,12,9,197
830,501.334000,18,0,6,0
831,501.344000,18,0,5,0
832,501.354000,18,0,8,0
833,501.364000,18,0,8,0
834,501.374000,18,0,6,0
835,501.384000,18,0,7,0
836,501.394000,18,0,7,0
837,501.404000,18,0,10,0
838,501.414000,18,0,8,0
839,501.424000,18,0,9,0
840,501.434000,18,0,6,0
841,501.444000,18,0,7,0
842,501.454000,18,0,5,0
843,501.464000,18,0,7,0
844,501.474000,18,0,8,0
845,501.484000,18,0,5,0
846,501.494000,20,0,10,0
847,501.504000,20,0,7,0
848,501.514000,20,0,8,0
849,501.524000,20,12,7,1
850,501.534000,20,12,6,5
851,501.544000,20,12,6,43
852,501.554000,20,12,5,176
853,501.564000,20,0,8,0
854,501.574000,20,0,6,0
855,501.584000,20,0,7,0
856,501.594000,20,12,8,1
857,501.604000,20,12,7,1
858,501.614000,18,10,6,1
859,501.624000,18,10,4,0
860,501.634000,18,10,6,1
861,501.644000,18,10,5,0
862,501.654000,18,10,6,1
863,501.664000,18,0,5,0
864,501.674000,18,0,5,0
865,501.684000,18,10,5,0
866,501.694000,18,10,6,1
867,501.704000,18,10,5,9
868,501.714000,18,10,5,45
869,501.724000,18,10,6,38
870,501.734000,18,10,5,32
871,501.744000,18,0,6,0
872,501.754000,18,0,4,0
873,501.764000,18,0,11,0
874,501.774000,18,0,5,0
875,501.784000,18,0,7,0
876,501.794000,18,10,5,1
877,501.804000,18,10,4,1
878,501.814000,18,10,5,7
879,501.824000,18,10,6,34
880,501.834000,18,10,4,43
881,501.844000,18,0,6,0
882,501.854000,18,0,4,0
883,501.864000,18,0,6,0
884,501.874000,18,0,4,0
885,501.884000,18,8,7,1
886,501.894000,18,8,6,0
887,501.904000,18,8,7,5
888,501.914000,18,8,4,8
889,501.924000,18,8,6,11
890,501.934000,18,8,13,7
891,501.944000,18,8,10,7
892,501.954000,18,8,5,8
893,501.964000,18,8,4,7
894,501.974000,18,8,4,6
895,501.984000,18,8,6,6
896,501.994000,18,8,6,10
897,502.004000,18,8,7,8
898,502.014000,18,8,6,9
899,502.024000,18,8,5,8
900,502.034000,18,8,5,7
901,502.044000,18,8,6,7
902,502.054000,18,8,5,8
903,502.064000,18,8,7,10
904,502.074000,18,8,10,11
905,502.084000,18,8,5,6
906,502.094000,18,8,6,6
907,502.104000,18,8,5,2
908,502.114000,18,8,11,0
909,502.124000,18,8,5,7
910,502.134000,18,8,4,6
911,502.144000,18,8,4,6
912,502.154000,18,8,5,6
913,502.164000,18,8,7,10
914,502.174000,18,8,10,5
915,502.184000,18,8,7,2
916,502.194000,18,8,5,0
917,502.204000,18,0,5,0
918,502.214000,18,0,6,0
919,502.224000,18,0,8,0
920,502.234000,18,8,4,16
921,502.244000,18,8,13,11
