t,x,y,yaw
102.838000,34.617,-16.366,-1.07731
102.839000,34.617,-16.366,-1.07731
102.840000,34.617,-16.366,-1.07731
102.841000,34.617,-16.366,-1.07731
102.842000,34.617,-16.366,-1.07731
102.843000,34.617,-16.366,-1.07731
102.845000,34.617,-16.366,-1.07731
102.846000,34.617,-16.366,-1.07731
102.847000,34.617,-16.366,-1.07731
102.848000,34.617,-16.366,-1.07731
102.849000,34.617,-16.366,-1.07731
102.850000,34.617,-16.366,-1.07731
102.851000,34.617,-16.366,-1.07731
102.852000,34.617,-16.366,-1.07731
102.853000,34.617,-16.366,-1.07731
102.854000,34.617,-16.366,-1.07731
102.855000,34.617,-16.366,-1.07731
102.856000,34.617,-16.366,-1.07731
102.857000,34.617,-16.366,-1.07731
102.858000,34.617,-16.366,-1.07731
102.859000,34.617,-16.366,-1.07731
102.860000,34.617,-16.366,-1.07731
102.861000,34.617,-16.366,-1.07731
102.862000,34.617,-16.366,-1.07731
102.863000,34.617,-16.366,-1.07731
102.864000,34.617,-16.366,-1.07731
102.865000,34.617,-16.366,-1.07731
102.866000,34.617,-16.366,-1.07731
102.867000,34.617,-16.366,-1.07731
102.868000,34.617,-16.366,-1.07731
102.869000,34.617,-16.366,-1.07731
102.870000,34.617,-16.366,-1.07731
102.871000,34.617,-16.366,-1.07731
102.872000,34.617,-16.366,-1.07731
102.873000,34.617,-16.366,-1.07731
102.874000,34.617,-16.366,-1.07731
102.875000,34.617,-16.366,-1.07731
102.876000,34.617,-16.366,-1.07731
102.877000,34.617,-16.366,-1.07731
102.878000,34.617,-16.366,-1.07731
102.879000,34.617,-16.366,-1.07731
102.880000,34.617,-16.366,-1.07731
102.881000,34.617,-16.366,-1.07731
102.882000,34.617,-16.366,-1.07731
102.883000,34.617,-16.366,-1.07731
102.884000,34.617,-16.366,-1.07731
102.885000,34.617,-16.366,-1.07731
102.886000,34.617,-16.366,-1.07731
102.888000,34.617,-16.366,-1.07731
102.889000,34.617,-16.366,-1.07731
102.890000,34.617,-16.366,-1.07731
102.891000,34.617,-16.366,-1.07731
102.892000,34.617,-16.366,-1.07731
102.893000,34.617,-16.366,-1.07731
102.894000,34.617,-16.366,-1.07731
102.895000,34.617,-16.366,-1.07731
102.896000,34.617,-16.366,-1.07731
102.897000,34.617,-16.366,-1.07731
102.898000,34.617,-16.366,-1.07731
102.900000,34.617,-16.366,-1.07731
102.901000,34.617,-16.366,-1.07731
102.902000,34.617,-16.366,-1.07731
102.903000,34.617,-16.366,-1.07731
102.904000,34.617,-16.366,-1.07731
102.905000,34.617,-16.366,-1.07731
102.906000,34.617,-16.366,-1.07731
102.908000,34.617,-16.366,-1.07731
102.910000,34.617,-16.366,-1.07731
102.911000,34.617,-16.366,-1.07731
102.912000,34.617,-16.366,-1.07731
102.913000,34.617,-16.366,-1.07731
102.915000,34.617,-16.366,-1.07731
102.916000,34.617,-16.366,-1.07731
102.917000,34.617,-16.366,-1.07731
102.918000,34.617,-16.366,-1.07731
102.919000,34.617,-16.366,-1.07731
102.921000,34.617,-16.366,-1.07731
102.922000,34.617,-16.366,-1.07731
102.923000,34.617,-16.366,-1.07731
102.924000,34.617,-16.366,-1.07731
102.925000,34.617,-16.366,-1.07731
102.926000,34.617,-16.366,-1.07731
102.927000,34.617,-16.366,-1.07731
102.929000,34.617,-16.366,-1.07731
102.930000,34.617,-16.366,-1.07731
102.931000,34.617,-16.366,-1.07731
102.932000,34.617,-16.366,-1.07731
102.933000,34.617,-16.366,-1.07731
102.934000,34.617,-16.366,-1.07731
102.936000,34.617,-16.366,-1.07731
102.937000,34.617,-16.366,-1.07731
102.938000,34.617,-16.366,-1.07731
102.939000,34.617,-16.366,-1.07731
102.940000,34.617,-16.366,-1.07731
102.941000,34.617,-16.366,-1.07731
102.943000,34.617,-16.366,-1.07731
102.944000,34.617,-16.366,-1.07731
102.945000,34.617,-16.366,-1.07731
102.946000,34.617,-16.366,-1.07731
102.947000,34.617,-16.366,-1.07731
102.948000,34.617,-16.366,-1.07731
102.949000,34.617,-16.366,-1.07731
102.950000,34.617,-16.366,-1.07731
102.951000,34.617,-16.366,-1.07731
102.952000,34.617,-16.366,-1.07731
102.953000,34.617,-16.366,-1.07731
102.954000,34.617,-16.366,-1.07731
102.955000,34.617,-16.366,-1.07731
102.956000,34.617,-16.366,-1.07731
102.957000,34.617,-16.366,-1.07731
102.958000,34.617,-16.366,-1.07731
102.959000,34.617,-16.366,-1.07731
102.960000,34.617,-16.366,-1.07731
102.961000,34.617,-16.366,-1.07731
102.962000,34.617,-16.366,-1.07731
102.963000,34.617,-16.366,-1.07731
102.964000,34.617,-16.366,-1.07731
102.966000,34.617,-16.366,-1.07731
102.967000,34.617,-16.366,-1.07731
102.968000,34.617,-16.366,-1.07731
102.969000,34.617,-16.366,-1.07731
102.970000,34.617,-16.366,-1.07731
102.971000,34.617,-16.366,-1.07731
102.972000,34.617,-16.366,-1.07731
102.973000,34.617,-16.366,-1.07731
102.974000,34.617,-16.366,-1.07731
102.975000,34.617,-16.366,-1.07731
102.976000,34.617,-16.366,-1.07731
102.977000,34.617,-16.366,-1.07731
102.978000,34.617,-16.366,-1.07731
102.979000,34.617,-16.366,-1.07731
102.980000,34.617,-16.366,-1.07731
102.981000,34.617,-16.366,-1.07731
102.982000,34.617,-16.366,-1.07731
102.983000,34.617,-16.366,-1.07731
102.985000,34.617,-16.366,-1.07731
102.986000,34.617,-16.366,-1.07731
102.987000,34.617,-16.366,-1.07731
102.988000,34.617,-16.366,-1.07731
102.989000,34.617,-16.366,-1.07731
102.990000,34.617,-16.366,-1.07731
102.991000,34.617,-16.366,-1.07731
102.992000,34.617,-16.366,-1.07731
102.993000,34.617,-16.366,-1.07731
102.994000,34.617,-16.366,-1.07731
102.995000,34.617,-16.366,-1.07731
102.996000,34.617,-16.366,-1.07731
102.997000,34.617,-16.366,-1.07731
102.998000,34.617,-16.366,-1.07731
102.999000,34.617,-16.366,-1.07731
103.000000,34.617,-16.366,-1.07731
103.001000,34.617,-16.366,-1.07731
103.002000,34.617,-16.366,-1.07731
103.003000,34.617,-16.366,-1.07731
103.004000,34.617,-16.366,-1.07731
103.005000,34.617,-16.366,-1.07731
103.006000,34.617,-16.366,-1.07731
103.007000,34.617,-16.366,-1.07731
103.008000,34.617,-16.366,-1.07731
103.009000,34.617,-16.366,-1.07731
103.010000,34.617,-16.366,-1.07731
103.011000,34.617,-16.366,-1.07731
103.012000,34.617,-16.366,-1.07731
103.013000,34.617,-16.366,-1.07731
103.014000,34.617,-16.366,-1.07731
103.015000,34.617,-16.366,-1.07731
103.016000,34.617,-16.366,-1.07731
103.017000,34.617,-16.366,-1.07731
103.018000,34.617,-16.366,-1.07731
103.019000,34.617,-16.366,-1.07731
103.020000,34.617,-16.366,-1.07731
103.021000,34.617,-16.366,-1.07731
103.022000,34.617,-16.366,-1.07731
103.023000,34.617,-16.366,-1.07731
103.024000,34.617,-16.366,-1.07731
103.025000,34.617,-16.366,-1.07731
103.026000,34.617,-16.366,-1.07731
103.028000,34.617,-16.366,-1.07731
103.029000,34.617,-16.366,-1.07731
103.030000,34.617,-16.366,-1.07731
103.031000,34.617,-16.366,-1.07731
103.032000,34.617,-16.366,-1.07731
103.033000,34.617,-16.366,-1.07731
103.034000,34.617,-16.366,-1.07731
103.036000,34.617,-16.366,-1.07731
103.037000,34.617,-16.366,-1.07731
103.038000,34.617,-16.366,-1.07731
103.039000,34.617,-16.366,-1.07731
103.040000,34.617,-16.366,-1.07731
103.041000,34.617,-16.366,-1.07731
103.042000,34.617,-16.366,-1.07731
103.043000,34.617,-16.366,-1.07731
103.045000,34.617,-16.366,-1.07731
103.046000,34.617,-16.366,-1.07731
103.047000,34.617,-16.366,-1.07731
103.048000,34.617,-16.366,-1.07731
103.049000,34.617,-16.366,-1.07731
103.050000,34.617,-16.366,-1.07731
103.051000,34.617,-16.366,-1.07731
103.052000,34.617,-16.366,-1.07731
103.053000,34.617,-16.366,-1.07731
103.054000,34.617,-16.366,-1.07731
103.055000,34.617,-16.366,-1.07731
103.056000,34.617,-16.366,-1.07731
103.057000,34.617,-16.366,-1.07731
103.058000,34.617,-16.366,-1.07731
103.059000,34.617,-16.366,-1.07731
103.060000,34.617,-16.366,-1.07731
103.061000,34.617,-16.366,-1.07731
103.062000,34.617,-16.366,-1.07731
103.064000,34.617,-16.366,-1.07731
103.065000,34.617,-16.366,-1.07731
103.066000,34.617,-16.366,-1.07731
103.067000,34.617,-16.366,-1.07731
103.068000,34.617,-16.366,-1.07731
103.069000,34.617,-16.366,-1.07731
103.070000,34.617,-16.366,-1.07731
103.071000,34.617,-16.366,-1.07731
103.072000,34.617,-16.366,-1.07731
103.073000,34.617,-16.366,-1.07731
103.074000,34.617,-16.366,-1.07731
103.075000,34.617,-16.366,-1.07731
103.076000,34.617,-16.366,-1.07731
103.078000,34.617,-16.366,-1.07731
103.079000,34.617,-16.366,-1.07731
103.080000,34.617,-16.366,-1.07731
103.081000,34.617,-16.366,-1.07731
103.082000,34.617,-16.366,-1.07731
103.083000,34.617,-16.366,-1.07731
103.084000,34.617,-16.366,-1.07731
103.085000,34.617,-16.366,-1.07731
103.086000,34.617,-16.366,-1.07731
103.087000,34.617,-16.366,-1.07731
103.088000,34.617,-16.366,-1.07731
103.089000,34.617,-16.366,-1.07731
103.090000,34.617,-16.366,-1.07731
103.091000,34.617,-16.366,-1.07731
103.092000,34.617,-16.366,-1.07731
103.093000,34.617,-16.366,-1.07731
103.094000,34.617,-16.366,-1.07731
103.095000,34.617,-16.366,-1.07731
103.096000,34.617,-16.366,-1.07731
103.097000,34.617,-16.366,-1.07731
103.098000,34.617,-16.366,-1.07731
103.100000,34.617,-16.366,-1.07731
103.101000,34.617,-16.366,-1.07731
103.102000,34.617,-16.366,-1.07731
103.103000,34.617,-16.366,-1.07731
103.104000,34.617,-16.366,-1.07731
