t,matches,dropped,mean_mahal,p95_mahal,match_frac,N
97.054000,0,0,0.000,0.000,0.00,300
97.056000,0,0,0.000,0.000,0.00,300
97.057000,0,0,0.000,0.000,0.00,300
97.058000,0,0,0.000,0.000,0.00,300
97.059000,0,0,0.000,0.000,0.00,300
97.060000,0,0,0.000,0.000,0.00,300
97.061000,0,0,0.000,0.000,0.00,300
97.062000,0,0,0.000,0.000,0.00,300
97.063000,0,0,0.000,0.000,0.00,300
97.064000,0,0,0.000,0.000,0.00,300
97.065000,0,0,0.000,0.000,0.00,300
97.066000,0,0,0.000,0.000,0.00,300
97.067000,0,0,0.000,0.000,0.00,300
97.068000,0,0,0.000,0.000,0.00,300
97.070000,0,0,0.000,0.000,0.00,300
97.071000,0,0,0.000,0.000,0.00,300
97.072000,0,0,0.000,0.000,0.00,300
97.073000,0,0,0.000,0.000,0.00,300
97.074000,0,0,0.000,0.000,0.00,300
97.075000,0,0,0.000,0.000,0.00,300
97.076000,0,0,0.000,0.000,0.00,300
97.077000,0,0,0.000,0.000,0.00,300
97.078000,0,0,0.000,0.000,0.00,300
97.079000,0,0,0.000,0.000,0.00,300
97.081000,0,0,0.000,0.000,0.00,300
97.082000,0,0,0.000,0.000,0.00,300
97.083000,0,0,0.000,0.000,0.00,300
97.084000,0,0,0.000,0.000,0.00,300
97.085000,0,0,0.000,0.000,0.00,300
97.086000,0,0,0.000,0.000,0.00,300
97.087000,0,0,0.000,0.000,0.00,300
97.088000,0,0,0.000,0.000,0.00,300
97.089000,0,0,0.000,0.000,0.00,300
97.090000,0,0,0.000,0.000,0.00,300
97.091000,0,0,0.000,0.000,0.00,300
97.093000,0,0,0.000,0.000,0.00,300
97.094000,0,0,0.000,0.000,0.00,300
97.096000,0,0,0.000,0.000,0.00,300
97.097000,0,0,0.000,0.000,0.00,300
97.098000,0,0,0.000,0.000,0.00,300
97.099000,0,0,0.000,0.000,0.00,300
97.100000,0,0,0.000,0.000,0.00,300
97.101000,0,0,0.000,0.000,0.00,300
97.103000,0,0,0.000,0.000,0.00,300
97.104000,0,0,0.000,0.000,0.00,300
97.105000,0,0,0.000,0.000,0.00,300
97.106000,0,0,0.000,0.000,0.00,300
97.107000,0,0,0.000,0.000,0.00,300
97.108000,0,0,0.000,0.000,0.00,300
97.109000,0,0,0.000,0.000,0.00,300
97.110000,0,0,0.000,0.000,0.00,300
97.111000,0,0,0.000,0.000,0.00,300
97.112000,0,0,0.000,0.000,0.00,300
97.113000,0,0,0.000,0.000,0.00,300
97.114000,0,0,0.000,0.000,0.00,300
97.115000,0,0,0.000,0.000,0.00,300
97.116000,0,0,0.000,0.000,0.00,300
97.117000,0,0,0.000,0.000,0.00,300
97.118000,0,0,0.000,0.000,0.00,300
97.120000,0,0,0.000,0.000,0.00,300
97.121000,0,0,0.000,0.000,0.00,300
97.122000,0,0,0.000,0.000,0.00,300
97.124000,0,0,0.000,0.000,0.00,300
97.125000,0,0,0.000,0.000,0.00,300
97.126000,0,0,0.000,0.000,0.00,300
97.128000,0,0,0.000,0.000,0.00,300
97.129000,0,0,0.000,0.000,0.00,300
97.130000,0,0,0.000,0.000,0.00,300
97.131000,0,0,0.000,0.000,0.00,300
97.132000,0,0,0.000,0.000,0.00,300
97.134000,0,0,0.000,0.000,0.00,300
97.135000,0,0,0.000,0.000,0.00,300
97.136000,0,0,0.000,0.000,0.00,300
97.137000,0,0,0.000,0.000,0.00,300
97.138000,0,0,0.000,0.000,0.00,300
97.139000,0,0,0.000,0.000,0.00,300
97.140000,0,0,0.000,0.000,0.00,300
97.141000,0,0,0.000,0.000,0.00,300
97.143000,0,0,0.000,0.000,0.00,300
97.144000,0,0,0.000,0.000,0.00,300
97.145000,0,0,0.000,0.000,0.00,300
97.146000,0,0,0.000,0.000,0.00,300
97.147000,0,0,0.000,0.000,0.00,300
97.148000,0,0,0.000,0.000,0.00,300
97.149000,0,0,0.000,0.000,0.00,300
97.150000,0,0,0.000,0.000,0.00,300
97.151000,0,0,0.000,0.000,0.00,300
97.152000,0,0,0.000,0.000,0.00,300
97.154000,0,0,0.000,0.000,0.00,300
97.155000,0,0,0.000,0.000,0.00,300
97.156000,0,0,0.000,0.000,0.00,300
97.157000,0,0,0.000,0.000,0.00,300
97.158000,0,0,0.000,0.000,0.00,300
97.159000,0,0,0.000,0.000,0.00,300
97.160000,0,0,0.000,0.000,0.00,300
97.161000,0,0,0.000,0.000,0.00,300
97.162000,0,0,0.000,0.000,0.00,300
97.163000,0,0,0.000,0.000,0.00,300
97.164000,0,0,0.000,0.000,0.00,300
97.165000,0,0,0.000,0.000,0.00,300
97.166000,0,0,0.000,0.000,0.00,300
97.167000,0,0,0.000,0.000,0.00,300
97.168000,0,0,0.000,0.000,0.00,300
97.169000,0,0,0.000,0.000,0.00,300
97.170000,0,0,0.000,0.000,0.00,300
97.171000,0,0,0.000,0.000,0.00,300
97.172000,0,0,0.000,0.000,0.00,300
97.173000,0,0,0.000,0.000,0.00,300
97.174000,0,0,0.000,0.000,0.00,300
97.175000,0,0,0.000,0.000,0.00,300
97.176000,0,0,0.000,0.000,0.00,300
97.177000,0,0,0.000,0.000,0.00,300
97.178000,0,0,0.000,0.000,0.00,300
97.179000,0,0,0.000,0.000,0.00,300
97.180000,0,0,0.000,0.000,0.00,300
97.181000,0,0,0.000,0.000,0.00,300
97.182000,0,0,0.000,0.000,0.00,300
97.183000,0,0,0.000,0.000,0.00,300
97.185000,0,0,0.000,0.000,0.00,300
97.186000,0,0,0.000,0.000,0.00,300
97.188000,0,0,0.000,0.000,0.00,300
97.189000,0,0,0.000,0.000,0.00,300
97.190000,0,0,0.000,0.000,0.00,300
97.191000,0,0,0.000,0.000,0.00,300
97.193000,0,0,0.000,0.000,0.00,300
97.194000,0,0,0.000,0.000,0.00,300
97.195000,0,0,0.000,0.000,0.00,300
97.196000,0,0,0.000,0.000,0.00,300
97.197000,0,0,0.000,0.000,0.00,300
97.198000,0,0,0.000,0.000,0.00,300
97.199000,0,0,0.000,0.000,0.00,300
97.200000,0,0,0.000,0.000,0.00,300
97.201000,0,0,0.000,0.000,0.00,300
97.202000,0,0,0.000,0.000,0.00,300
97.203000,0,0,0.000,0.000,0.00,300
97.204000,0,0,0.000,0.000,0.00,300
97.205000,0,0,0.000,0.000,0.00,300
97.206000,0,0,0.000,0.000,0.00,300
97.207000,0,0,0.000,0.000,0.00,300
97.208000,0,0,0.000,0.000,0.00,300
97.209000,0,0,0.000,0.000,0.00,300
97.210000,0,0,0.000,0.000,0.00,300
97.211000,0,0,0.000,0.000,0.00,300
97.212000,0,0,0.000,0.000,0.00,300
97.213000,0,0,0.000,0.000,0.00,300
97.214000,0,0,0.000,0.000,0.00,300
97.216000,0,0,0.000,0.000,0.00,300
97.217000,0,0,0.000,0.000,0.00,300
97.219000,0,0,0.000,0.000,0.00,300
97.220000,0,0,0.000,0.000,0.00,300
97.221000,0,0,0.000,0.000,0.00,300
97.222000,0,0,0.000,0.000,0.00,300
97.223000,0,0,0.000,0.000,0.00,300
97.224000,0,0,0.000,0.000,0.00,300
97.225000,0,0,0.000,0.000,0.00,300
97.226000,0,0,0.000,0.000,0.00,300
97.227000,0,0,0.000,0.000,0.00,300
97.228000,0,0,0.000,0.000,0.00,300
97.229000,0,0,0.000,0.000,0.00,300
97.230000,0,0,0.000,0.000,0.00,300
97.231000,0,0,0.000,0.000,0.00,300
97.232000,0,0,0.000,0.000,0.00,300
97.233000,0,0,0.000,0.000,0.00,300
97.234000,0,0,0.000,0.000,0.00,300
97.235000,0,0,0.000,0.000,0.00,300
97.236000,0,0,0.000,0.000,0.00,300
97.237000,0,0,0.000,0.000,0.00,300
97.238000,0,0,0.000,0.000,0.00,300
97.239000,0,0,0.000,0.000,0.00,300
97.240000,0,0,0.000,0.000,0.00,300
97.241000,0,0,0.000,0.000,0.00,300
97.242000,0,0,0.000,0.000,0.00,300
97.243000,0,0,0.000,0.000,0.00,300
97.244000,0,0,0.000,0.000,0.00,300
97.246000,0,0,0.000,0.000,0.00,300
97.248000,0,0,0.000,0.000,0.00,300
97.249000,0,0,0.000,0.000,0.00,300
97.250000,0,0,0.000,0.000,0.00,300
97.251000,0,0,0.000,0.000,0.00,300
97.252000,0,0,0.000,0.000,0.00,300
97.253000,0,0,0.000,0.000,0.00,300
97.254000,0,0,0.000,0.000,0.00,300
97.255000,0,0,0.000,0.000,0.00,300
97.256000,0,0,0.000,0.000,0.00,300
97.257000,0,0,0.000,0.000,0.00,300
97.258000,0,0,0.000,0.000,0.00,300
97.260000,0,0,0.000,0.000,0.00,300
97.261000,0,0,0.000,0.000,0.00,300
97.262000,0,0,0.000,0.000,0.00,300
97.263000,0,0,0.000,0.000,0.00,300
97.264000,0,0,0.000,0.000,0.00,300
97.265000,0,0,0.000,0.000,0.00,300
